tconst;title
tt1856101;Blade Runner 2049 (2017)
tt1872181;The Amazing Spider-Man 2 (2014)
tt1877832;X-Men: Days of Future Past (2014)
tt1895587;Spotlight (2015)
tt1905041;Fast & Furious 6 (2013)
tt1907668;Flight (2012)
tt1931533;Seven Psychopaths (2012)
tt1951264;The Hunger Games: Catching Fire (2013)
tt1951265;The Hunger Games: Mockingjay - Part 1 (2014)
tt1951266;The Hunger Games: Mockingjay - Part 2 (2015)
tt1959490;Noah (2014)
tt1979320;Rush (2013)
tt1980209;Pain & Gain (2013)
tt1981115;Thor: The Dark World (2013)
tt1981677;Pitch Perfect (2012)
tt2015381;Guardians of the Galaxy (2014)
tt2024469;Non-Stop (2014)
tt2024544;12 Years a Slave (2013)
tt2084970;The Imitation Game (2014)
tt2096673;Inside Out (2015)
tt2103281;Dawn of the Planet of the Apes (2014)
tt2109248;Transformers: Age of Extinction (2014)
tt2119532;Hacksaw Ridge (2016)
tt2126355;San Andreas (2015)
tt2140479;The Accountant (2016)
tt2179136;American Sniper (2014)
tt2209764;Transcendence (2014)
tt2234155;The Internship (2013)
tt2250912;Spider-Man: Homecoming (2017)
tt2267998;Gone Girl (2014)
tt2277860;Finding Dory (2016)
tt2278388;The Grand Budapest Hotel (2014)
tt2283362;Jumanji: Welcome to the Jungle (2017)
tt2294449;22 Jump Street (2014)
tt2294629;Frozen (2013)
tt2302755;Olympus Has Fallen (2013)
tt2310332;The Hobbit: The Battle of the Five Armies (2014)
tt2334873;Blue Jasmine (2013)
tt2334879;White House Down (2013)
tt2361509;The Intern (2015)
tt2379713;Spectre (2015)
tt2380307;Coco (2017)
tt2381249;Mission: Impossible - Rogue Nation (2015)
tt2395427;Avengers: Age of Ultron (2015)
tt2404435;The Magnificent Seven (2016)
tt2488496;Star Wars: Episode VII - The Force Awakens (2015)
tt2527336;Star Wars: Episode VIII - The Last Jedi (2017)
tt2527338;Star Wars: Episode IX - The Rise of Skywalker (2019)
tt2543164;Arrival (2016)
tt2562232;Birdman or (The Unexpected Virtue of Ignorance) (2014)
tt2582782;Hell or High Water (2016)
tt2660888;Star Trek Beyond (2016)
tt2704998;Game Night (2018)
tt2713180;Fury (2014)
tt2771200;Beauty and the Beast (2017)
tt2788710;The Interview (2014)
tt2798920;Annihilation (2018)
tt2802144;Kingsman: The Secret Service (2014)
tt2820852;Furious 7 (2015)
tt2872718;Nightcrawler (2014)
tt2872732;Lucy (2014)
tt2911666;John Wick (2014)
tt2948356;Zootopia (2016)
tt2975590;Batman v Superman: Dawn of Justice (2016)
tt2980516;The Theory of Everything (2014)
tt3040964;The Jungle Book (2016)
tt3079380;Spy (2015)
